"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2003-01-01T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",50.64,"bereinigt"
"2003-01-01T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",58.42,"bereinigt"
"2003-01-01T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2003-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",43.82,"bereinigt"
"2003-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",57.38,"bereinigt"
"2003-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2003-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",23.58,"bereinigt"
"2003-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",13.01,"bereinigt"
"2003-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",22.76,"bereinigt"
"2003-01-01T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",14.77,"bereinigt"
"2003-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",48.31,"bereinigt"
"2003-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",59.33,"bereinigt"
"2003-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2003-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.29,"bereinigt"
"2003-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",15.4,"bereinigt"
"2003-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",3.27,"bereinigt"
"2003-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",10.68,"bereinigt"
"2003-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",12.17,"bereinigt"
"2003-01-02T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",62.57,"bereinigt"
"2003-01-02T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",85.61,"bereinigt"
"2003-01-02T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2003-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",56.96,"bereinigt"
"2003-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",91.04,"bereinigt"
"2003-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2003-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",17.61,"bereinigt"
"2003-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",11.59,"bereinigt"
"2003-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",18.5,"bereinigt"
"2003-01-02T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",11.3,"bereinigt"
"2003-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",60.03,"bereinigt"
