"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1984-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.52,"bereinigt"
"1984-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",51.71,"bereinigt"
"1984-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",155.76,"bereinigt"
"1984-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",151.92,"bereinigt"
"1984-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",55.02,"bereinigt"
"1984-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.73,"bereinigt"
"1984-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",59.95,"bereinigt"
"1984-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",178.89,"bereinigt"
"1984-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",174.78,"bereinigt"
"1984-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",NA,"bereinigt"
"1984-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",NA,"bereinigt"
"1984-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",NA,"bereinigt"
"1984-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",NA,"bereinigt"
"1984-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",NA,"bereinigt"
"1984-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",NA,"bereinigt"
"1984-01-04T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.45,"bereinigt"
"1984-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",43.97,"bereinigt"
"1984-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",23.45,"bereinigt"
"1984-01-04T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",41.8,"bereinigt"
"1984-01-04T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",13.46,"bereinigt"
"1984-01-05T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.77,"bereinigt"
"1984-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",57.75,"bereinigt"
"1984-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",88.59,"bereinigt"
"1984-01-05T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",101.22,"bereinigt"
"1984-01-05T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",31.76,"bereinigt"
"1984-01-06T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",3.21,"bereinigt"
"1984-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",65.48,"bereinigt"
"1984-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",195.77,"bereinigt"
"1984-01-06T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",191.2,"bereinigt"
"1984-01-06T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",45.89,"bereinigt"
"1984-01-07T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.74,"bereinigt"
"1984-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",58.15,"bereinigt"
"1984-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",72.03,"bereinigt"
"1984-01-07T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",88.16,"bereinigt"
"1984-01-07T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",35.18,"bereinigt"
"1984-01-08T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.01,"bereinigt"
"1984-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",44.17,"bereinigt"
"1984-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",25.68,"bereinigt"
"1984-01-08T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",43.69,"bereinigt"
