"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1994-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",33.05,"bereinigt"
"1994-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",54.2,"bereinigt"
"1994-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1994-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",43.52,"bereinigt"
"1994-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",30.58,"bereinigt"
"1994-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",47.28,"bereinigt"
"1994-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",40.57,"bereinigt"
"1994-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",61.9,"bereinigt"
"1994-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1994-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.54,"bereinigt"
"1994-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",29.15,"bereinigt"
"1994-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",11.7,"bereinigt"
"1994-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",24.62,"bereinigt"
"1994-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",8.91,"bereinigt"
"1994-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",33.32,"bereinigt"
"1994-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",58.86,"bereinigt"
"1994-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1994-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",36.52,"bereinigt"
"1994-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",26.05,"bereinigt"
"1994-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",39.98,"bereinigt"
"1994-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",40.69,"bereinigt"
"1994-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",52.29,"bereinigt"
"1994-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1994-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.41,"bereinigt"
"1994-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",24.42,"bereinigt"
"1994-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",6.53,"bereinigt"
"1994-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",18.01,"bereinigt"
"1994-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",9.08,"bereinigt"
"1994-01-03T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",22.6,"bereinigt"
"1994-01-03T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",60.7,"bereinigt"
"1994-01-03T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1994-01-03T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",50.98,"bereinigt"
"1994-01-03T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",89.07,"bereinigt"
"1994-01-03T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",98.07,"bereinigt"
"1994-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",23.12,"bereinigt"
"1994-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",55.12,"bereinigt"
"1994-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1994-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.03,"bereinigt"
"1994-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",43.89,"bereinigt"
"1994-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",44.1,"bereinigt"
"1994-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",58.31,"bereinigt"
"1994-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",16.27,"bereinigt"
"1994-01-04T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",22.97,"bereinigt"
"1994-01-04T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",58.85,"bereinigt"
