"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2018-01-01T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",2.73,"bereinigt"
"2018-01-01T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.98,"bereinigt"
"2018-01-01T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",2.21,"bereinigt"
"2018-01-01T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",74.19,"bereinigt"
"2018-01-01T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",87.65,"bereinigt"
"2018-01-01T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2018-01-01T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",20.5,"bereinigt"
"2018-01-01T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",9.73,"bereinigt"
"2018-01-01T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",18.52,"bereinigt"
"2018-01-01T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",63.75,"bereinigt"
"2018-01-01T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",79.27,"bereinigt"
"2018-01-01T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2018-01-01T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",7.29,"bereinigt"
"2018-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",11.96,"bereinigt"
"2018-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",3.72,"bereinigt"
"2018-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",9.23,"bereinigt"
"2018-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",68.87,"bereinigt"
"2018-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",86.91,"bereinigt"
"2018-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2018-01-01T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",7.02,"bereinigt"
"2018-01-01T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",6.03,"bereinigt"
"2018-01-01T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",5906.75,"bereinigt"
"2018-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",6.82,"bereinigt"
"2018-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",0.76,"bereinigt"
"2018-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",4.18,"bereinigt"
"2018-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",73.47,"bereinigt"
"2018-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",87.31,"bereinigt"
"2018-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2018-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",8.25,"bereinigt"
"2018-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",5.47,"bereinigt"
"2018-01-01T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",6305.06,"bereinigt"
"2018-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.19,"bereinigt"
"2018-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",0.81,"bereinigt"
"2018-01-02T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",2.51,"bereinigt"
"2018-01-02T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.91,"bereinigt"
"2018-01-02T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",2.04,"bereinigt"
"2018-01-02T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",71.25,"bereinigt"
"2018-01-02T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",78.88,"bereinigt"
