"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1985-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.49,"bereinigt"
"1985-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",45.9,"bereinigt"
"1985-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",17.95,"bereinigt"
"1985-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",38.4,"bereinigt"
"1985-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",53.3,"bereinigt"
"1985-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.6,"bereinigt"
"1985-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",47.45,"bereinigt"
"1985-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",29.76,"bereinigt"
"1985-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",48.67,"bereinigt"
"1985-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",53.31,"bereinigt"
"1985-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.28,"bereinigt"
"1985-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",67.06,"bereinigt"
"1985-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",75.72,"bereinigt"
"1985-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",95.78,"bereinigt"
"1985-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",129.5,"bereinigt"
"1985-01-04T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.69,"bereinigt"
"1985-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",70.28,"bereinigt"
"1985-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",135.13,"bereinigt"
"1985-01-04T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",145.09,"bereinigt"
"1985-01-04T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",74.45,"bereinigt"
"1985-01-05T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",2.27,"bereinigt"
"1985-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",86.59,"bereinigt"
"1985-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",195.15,"bereinigt"
"1985-01-05T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",201.74,"bereinigt"
"1985-01-05T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",161.15,"bereinigt"
"1985-01-06T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",2.25,"bereinigt"
"1985-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",85.89,"bereinigt"
"1985-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",187.95,"bereinigt"
"1985-01-06T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",195.6,"bereinigt"
"1985-01-06T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",175.61,"bereinigt"
"1985-01-07T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",3.58,"bereinigt"
"1985-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",100.06,"bereinigt"
"1985-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",269.13,"bereinigt"
"1985-01-07T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",268.1,"bereinigt"
"1985-01-07T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",206.51,"bereinigt"
"1985-01-08T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",3.28,"bereinigt"
"1985-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",91.18,"bereinigt"
"1985-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",228.61,"bereinigt"
"1985-01-08T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",230.96,"bereinigt"
"1985-01-08T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",207.24,"bereinigt"
"1985-01-09T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",5.73,"bereinigt"
"1985-01-09T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",151.92,"bereinigt"
"1985-01-09T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",449.09,"bereinigt"
"1985-01-09T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",439.5,"bereinigt"
"1985-01-09T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",421.95,"bereinigt"
