"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1990-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",37.21,"bereinigt"
"1990-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",69.79,"bereinigt"
"1990-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",75.42,"bereinigt"
"1990-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",1.47,"bereinigt"
"1990-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",1.83,"bereinigt"
"1990-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1990-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.45,"bereinigt"
"1990-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",67.67,"bereinigt"
"1990-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",89.33,"bereinigt"
"1990-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",107,"bereinigt"
"1990-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",2.12,"bereinigt"
"1990-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",51.34,"bereinigt"
"1990-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",4.17,"bereinigt"
"1990-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1990-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",35.99,"bereinigt"
"1990-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",81.78,"bereinigt"
"1990-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",84.39,"bereinigt"
"1990-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",1.47,"bereinigt"
"1990-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",1.98,"bereinigt"
"1990-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1990-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.54,"bereinigt"
"1990-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",66.05,"bereinigt"
"1990-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",98.29,"bereinigt"
"1990-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",113.35,"bereinigt"
"1990-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",2.21,"bereinigt"
"1990-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",53.66,"bereinigt"
"1990-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",6.21,"bereinigt"
"1990-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1990-01-03T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",35.88,"bereinigt"
"1990-01-03T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",67.29,"bereinigt"
"1990-01-03T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",72.72,"bereinigt"
"1990-01-03T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",2.11,"bereinigt"
"1990-01-03T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",12.97,"bereinigt"
"1990-01-03T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1990-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",2,"bereinigt"
"1990-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",62.43,"bereinigt"
"1990-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",109.17,"bereinigt"
"1990-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",120.17,"bereinigt"
"1990-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",2.98,"bereinigt"
"1990-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",34.94,"bereinigt"
"1990-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",9.56,"bereinigt"
"1990-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1990-01-04T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",39.66,"bereinigt"
"1990-01-04T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",84.73,"bereinigt"
"1990-01-04T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",88.67,"bereinigt"
"1990-01-04T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",1.47,"bereinigt"
"1990-01-04T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",2.42,"bereinigt"
"1990-01-04T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1990-01-04T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.79,"bereinigt"
"1990-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",69.55,"bereinigt"
"1990-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",94.73,"bereinigt"
"1990-01-04T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",112.32,"bereinigt"
"1990-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",2.14,"bereinigt"
"1990-01-04T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",33.35,"bereinigt"
"1990-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",5.2,"bereinigt"
"1990-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1990-01-05T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",42.75,"bereinigt"
"1990-01-05T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",111.27,"bereinigt"
"1990-01-05T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",111.57,"bereinigt"
"1990-01-05T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",1.45,"bereinigt"
"1990-01-05T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",1.99,"bereinigt"
"1990-01-05T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1990-01-05T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",2.09,"bereinigt"
"1990-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",75.66,"bereinigt"
"1990-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",128.16,"bereinigt"
"1990-01-05T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",142.31,"bereinigt"
"1990-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",1.68,"bereinigt"
"1990-01-05T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",48.75,"bereinigt"
"1990-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",3.81,"bereinigt"
"1990-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1990-01-06T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",39.06,"bereinigt"
"1990-01-06T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",78.26,"bereinigt"
"1990-01-06T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",83.17,"bereinigt"
