"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2012-01-01T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",12.7,"bereinigt"
"2012-01-01T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.62,"bereinigt"
"2012-01-01T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",7.94,"bereinigt"
"2012-01-01T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",35.29,"bereinigt"
"2012-01-01T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",43.75,"bereinigt"
"2012-01-01T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2012-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",25.47,"bereinigt"
"2012-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",10.4,"bereinigt"
"2012-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",21.66,"bereinigt"
"2012-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",28.52,"bereinigt"
"2012-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",48.28,"bereinigt"
"2012-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2012-01-01T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",17.67,"bereinigt"
"2012-01-01T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",10418.67,"bereinigt"
"2012-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",26.54,"bereinigt"
"2012-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",7.83,"bereinigt"
"2012-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",20.16,"bereinigt"
"2012-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",22.24,"bereinigt"
"2012-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",43.46,"bereinigt"
"2012-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2012-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.31,"bereinigt"
"2012-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",18.04,"bereinigt"
"2012-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.78,"bereinigt"
"2012-01-02T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",10.06,"bereinigt"
"2012-01-02T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.29,"bereinigt"
"2012-01-02T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",6.3,"bereinigt"
"2012-01-02T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",44.31,"bereinigt"
"2012-01-02T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",54.2,"bereinigt"
"2012-01-02T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2012-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",21.63,"bereinigt"
"2012-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",8.13,"bereinigt"
"2012-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",17.83,"bereinigt"
"2012-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",35.18,"bereinigt"
"2012-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",61.33,"bereinigt"
"2012-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2012-01-02T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",5.7,"bereinigt"
"2012-01-02T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",9645.1,"bereinigt"
"2012-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",17.87,"bereinigt"
"2012-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",3.51,"bereinigt"
"2012-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",12.16,"bereinigt"
"2012-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",36.06,"bereinigt"
