"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2001-01-01T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",20.08,"bereinigt"
"2001-01-01T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",44.39,"bereinigt"
"2001-01-01T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2001-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",2.12,"bereinigt"
"2001-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",5.46,"bereinigt"
"2001-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2001-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",53.19,"bereinigt"
"2001-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",91.96,"bereinigt"
"2001-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",101.54,"bereinigt"
"2001-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",2.73,"bereinigt"
"2001-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",7.19,"bereinigt"
"2001-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2001-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.22,"bereinigt"
"2001-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",56.63,"bereinigt"
"2001-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",74.24,"bereinigt"
"2001-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",89.13,"bereinigt"
"2001-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",26.12,"bereinigt"
"2001-01-02T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",31.3,"bereinigt"
