"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1995-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",42.32,"bereinigt"
"1995-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",55.28,"bereinigt"
"1995-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",24.66,"bereinigt"
"1995-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",21.56,"bereinigt"
"1995-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",30.18,"bereinigt"
"1995-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",48.85,"bereinigt"
"1995-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",60.06,"bereinigt"
"1995-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.47,"bereinigt"
"1995-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",19.38,"bereinigt"
"1995-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",6.99,"bereinigt"
"1995-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",15.74,"bereinigt"
"1995-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",6.26,"bereinigt"
"1995-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",47.41,"bereinigt"
"1995-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",54.54,"bereinigt"
"1995-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",20.71,"bereinigt"
"1995-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",15.97,"bereinigt"
"1995-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",23.63,"bereinigt"
"1995-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",52.03,"bereinigt"
"1995-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",58.23,"bereinigt"
"1995-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.41,"bereinigt"
"1995-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",17.27,"bereinigt"
"1995-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",3.42,"bereinigt"
"1995-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",11.78,"bereinigt"
"1995-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",7.98,"bereinigt"
"1995-01-03T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",19.72,"bereinigt"
"1995-01-03T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",38.72,"bereinigt"
"1995-01-03T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-03T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",48.72,"bereinigt"
"1995-01-03T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",62.09,"bereinigt"
"1995-01-03T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",75.26,"bereinigt"
"1995-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",20.34,"bereinigt"
"1995-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",41.26,"bereinigt"
"1995-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.97,"bereinigt"
"1995-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",44.14,"bereinigt"
"1995-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",35.35,"bereinigt"
"1995-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",51.42,"bereinigt"
"1995-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",19.93,"bereinigt"
"1995-01-04T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",18.21,"bereinigt"
"1995-01-04T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",32.98,"bereinigt"
"1995-01-04T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-04T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",46.44,"bereinigt"
"1995-01-04T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",57.23,"bereinigt"
"1995-01-04T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",70.17,"bereinigt"
"1995-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",19.55,"bereinigt"
"1995-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",35.99,"bereinigt"
"1995-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-04T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.91,"bereinigt"
"1995-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",40.53,"bereinigt"
"1995-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",28.3,"bereinigt"
"1995-01-04T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",43.89,"bereinigt"
"1995-01-04T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",26.67,"bereinigt"
"1995-01-05T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",16.41,"bereinigt"
"1995-01-05T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",33.97,"bereinigt"
"1995-01-05T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-05T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",53.67,"bereinigt"
"1995-01-05T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",92.92,"bereinigt"
"1995-01-05T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",102.56,"bereinigt"
"1995-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",17.27,"bereinigt"
"1995-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",37.24,"bereinigt"
"1995-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-05T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.25,"bereinigt"
"1995-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",46.56,"bereinigt"
"1995-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",55.37,"bereinigt"
"1995-01-05T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",68.74,"bereinigt"
"1995-01-05T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",28.42,"bereinigt"
"1995-01-06T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",6.68,"bereinigt"
"1995-01-06T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",10.16,"bereinigt"
"1995-01-06T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-06T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",76.94,"bereinigt"
"1995-01-06T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",190.17,"bereinigt"
"1995-01-06T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",192.7,"bereinigt"
"1995-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",4.2,"bereinigt"
"1995-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",11.34,"bereinigt"
"1995-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-06T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",2.47,"bereinigt"
"1995-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",77.16,"bereinigt"
"1995-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",163.8,"bereinigt"
"1995-01-06T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",171.67,"bereinigt"
"1995-01-06T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",56.37,"bereinigt"
"1995-01-07T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",5.66,"bereinigt"
"1995-01-07T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",8.14,"bereinigt"
"1995-01-07T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-07T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",80.18,"bereinigt"
"1995-01-07T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",154.13,"bereinigt"
"1995-01-07T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",165.5,"bereinigt"
"1995-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",3.35,"bereinigt"
"1995-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",11.34,"bereinigt"
"1995-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-07T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",2.42,"bereinigt"
"1995-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",84.23,"bereinigt"
"1995-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",157.99,"bereinigt"
"1995-01-07T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",170.71,"bereinigt"
"1995-01-07T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",61.79,"bereinigt"
"1995-01-08T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",6.9,"bereinigt"
"1995-01-08T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",15.39,"bereinigt"
"1995-01-08T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-08T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",64.3,"bereinigt"
"1995-01-08T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",76.7,"bereinigt"
"1995-01-08T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",95.12,"bereinigt"
"1995-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",5.57,"bereinigt"
"1995-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",16.14,"bereinigt"
"1995-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-08T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.28,"bereinigt"
"1995-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",64.79,"bereinigt"
"1995-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",43.82,"bereinigt"
"1995-01-08T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",69.01,"bereinigt"
"1995-01-08T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",30.68,"bereinigt"
"1995-01-09T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",8.68,"bereinigt"
"1995-01-09T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",35.16,"bereinigt"
"1995-01-09T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-09T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",66.53,"bereinigt"
"1995-01-09T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",121.83,"bereinigt"
"1995-01-09T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",132.46,"bereinigt"
"1995-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",9.42,"bereinigt"
"1995-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",31.7,"bereinigt"
"1995-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-09T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.24,"bereinigt"
"1995-01-09T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",59.71,"bereinigt"
"1995-01-09T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",45.01,"bereinigt"
"1995-01-09T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",67.31,"bereinigt"
"1995-01-09T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",22.1,"bereinigt"
"1995-01-10T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",42.86,"bereinigt"
"1995-01-10T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",62.73,"bereinigt"
"1995-01-10T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-10T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",31.15,"bereinigt"
"1995-01-10T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",22.24,"bereinigt"
"1995-01-10T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",34.12,"bereinigt"
"1995-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",43.57,"bereinigt"
"1995-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",63.83,"bereinigt"
"1995-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-10T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.41,"bereinigt"
"1995-01-10T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",30.37,"bereinigt"
"1995-01-10T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",5.9,"bereinigt"
"1995-01-10T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",20.62,"bereinigt"
"1995-01-10T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",6.08,"bereinigt"
"1995-01-11T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",29.55,"bereinigt"
"1995-01-11T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",58.22,"bereinigt"
"1995-01-11T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-11T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",52.42,"bereinigt"
"1995-01-11T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",74.2,"bereinigt"
"1995-01-11T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",86.9,"bereinigt"
"1995-01-11T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",34.85,"bereinigt"
"1995-01-11T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",59.72,"bereinigt"
"1995-01-11T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-11T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.59,"bereinigt"
"1995-01-11T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",41.08,"bereinigt"
"1995-01-11T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",20.08,"bereinigt"
"1995-01-11T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",37.58,"bereinigt"
"1995-01-11T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",10.65,"bereinigt"
"1995-01-12T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",29.28,"bereinigt"
"1995-01-12T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",47.58,"bereinigt"
"1995-01-12T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-12T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",43.69,"bereinigt"
"1995-01-12T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",52.82,"bereinigt"
"1995-01-12T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",65.19,"bereinigt"
"1995-01-12T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",30.49,"bereinigt"
"1995-01-12T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",50.34,"bereinigt"
"1995-01-12T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1995-01-12T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.48,"bereinigt"
"1995-01-12T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",38.44,"bereinigt"
"1995-01-12T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",16.43,"bereinigt"
"1995-01-12T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",33.28,"bereinigt"
"1995-01-12T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",12.03,"bereinigt"
"1995-01-13T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",13.58,"bereinigt"
"1995-01-13T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",36.03,"bereinigt"
