"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2005-01-01T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",20.48,"bereinigt"
"2005-01-01T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",2.35,"bereinigt"
"2005-01-01T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",12.59,"bereinigt"
"2005-01-01T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",42.68,"bereinigt"
"2005-01-01T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",57.84,"bereinigt"
"2005-01-01T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2005-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",39.57,"bereinigt"
"2005-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",18.57,"bereinigt"
"2005-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",35.58,"bereinigt"
"2005-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",27.75,"bereinigt"
"2005-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",51.67,"bereinigt"
"2005-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2005-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",33.08,"bereinigt"
"2005-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",8.41,"bereinigt"
"2005-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",24.05,"bereinigt"
"2005-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",31.44,"bereinigt"
"2005-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",50.37,"bereinigt"
"2005-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2005-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.44,"bereinigt"
"2005-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",7.83,"bereinigt"
"2005-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",24.04,"bereinigt"
"2005-01-02T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",12.3,"bereinigt"
"2005-01-02T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.23,"bereinigt"
"2005-01-02T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",7.42,"bereinigt"
"2005-01-02T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",59.37,"bereinigt"
"2005-01-02T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",65.01,"bereinigt"
"2005-01-02T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2005-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",20.7,"bereinigt"
"2005-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",8.1,"bereinigt"
"2005-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",17.32,"bereinigt"
"2005-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",53.78,"bereinigt"
"2005-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",63.06,"bereinigt"
"2005-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2005-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",11.32,"bereinigt"
"2005-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",0.88,"bereinigt"
"2005-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",6.62,"bereinigt"
"2005-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",60.78,"bereinigt"
"2005-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",68.04,"bereinigt"
"2005-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2005-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.28,"bereinigt"
"2005-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",3.7,"bereinigt"
"2005-01-02T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",NA,"bereinigt"
"2005-01-03T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",17.06,"bereinigt"
