"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1996-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",1.6,"bereinigt"
"1996-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",5.27,"bereinigt"
"1996-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",53.8,"bereinigt"
"1996-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",111.79,"bereinigt"
"1996-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",117.76,"bereinigt"
"1996-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",3.35,"bereinigt"
"1996-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",6.48,"bereinigt"
"1996-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.6,"bereinigt"
"1996-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",49.48,"bereinigt"
"1996-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",84.81,"bereinigt"
"1996-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",93.87,"bereinigt"
"1996-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",29.8,"bereinigt"
"1996-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",1.53,"bereinigt"
"1996-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",5.42,"bereinigt"
"1996-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",50.45,"bereinigt"
"1996-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",82.61,"bereinigt"
"1996-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",92.62,"bereinigt"
"1996-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",2.95,"bereinigt"
"1996-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",4.85,"bereinigt"
"1996-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.23,"bereinigt"
"1996-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",42.35,"bereinigt"
"1996-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",63.96,"bereinigt"
"1996-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",73.42,"bereinigt"
"1996-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",27.36,"bereinigt"
"1996-01-03T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",3.34,"bereinigt"
"1996-01-03T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",11.63,"bereinigt"
"1996-01-03T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-03T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",56.93,"bereinigt"
"1996-01-03T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",85.58,"bereinigt"
"1996-01-03T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",98.38,"bereinigt"
"1996-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",5.79,"bereinigt"
"1996-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",13.78,"bereinigt"
"1996-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.17,"bereinigt"
"1996-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",47.5,"bereinigt"
"1996-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",55.37,"bereinigt"
"1996-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",69.23,"bereinigt"
"1996-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",20.81,"bereinigt"
"1996-01-04T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",4.57,"bereinigt"
"1996-01-04T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",16.62,"bereinigt"
"1996-01-04T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-04T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",55.84,"bereinigt"
"1996-01-04T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",81.66,"bereinigt"
"1996-01-04T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",94.67,"bereinigt"
"1996-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",8.26,"bereinigt"
"1996-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",22.44,"bereinigt"
"1996-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-04T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.04,"bereinigt"
"1996-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",42.74,"bereinigt"
"1996-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",43.82,"bereinigt"
"1996-01-04T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",57.48,"bereinigt"
"1996-01-04T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",19.27,"bereinigt"
"1996-01-05T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",2.36,"bereinigt"
"1996-01-05T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",8.11,"bereinigt"
"1996-01-05T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-05T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",56.73,"bereinigt"
"1996-01-05T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",87.31,"bereinigt"
"1996-01-05T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",99.67,"bereinigt"
"1996-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",4.89,"bereinigt"
"1996-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",11.87,"bereinigt"
"1996-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-05T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.06,"bereinigt"
"1996-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",44.95,"bereinigt"
"1996-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",42.43,"bereinigt"
"1996-01-05T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",57.52,"bereinigt"
"1996-01-05T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",16.31,"bereinigt"
"1996-01-06T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",1.18,"bereinigt"
"1996-01-06T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",3.19,"bereinigt"
"1996-01-06T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-06T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",51.46,"bereinigt"
"1996-01-06T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",93.09,"bereinigt"
"1996-01-06T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",101.54,"bereinigt"
"1996-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",2.38,"bereinigt"
"1996-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",4.69,"bereinigt"
"1996-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-06T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.24,"bereinigt"
"1996-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",43.65,"bereinigt"
"1996-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",60.32,"bereinigt"
"1996-01-06T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",71.19,"bereinigt"
"1996-01-06T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",20.93,"bereinigt"
"1996-01-07T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",0.88,"bereinigt"
"1996-01-07T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",2.06,"bereinigt"
"1996-01-07T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-07T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",53.82,"bereinigt"
"1996-01-07T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",115.8,"bereinigt"
"1996-01-07T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",120.99,"bereinigt"
"1996-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",2.16,"bereinigt"
"1996-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",3.69,"bereinigt"
"1996-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-07T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.58,"bereinigt"
"1996-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",46.91,"bereinigt"
"1996-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",88.13,"bereinigt"
"1996-01-07T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",95.19,"bereinigt"
"1996-01-07T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",27.45,"bereinigt"
"1996-01-08T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",1.06,"bereinigt"
"1996-01-08T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",2.5,"bereinigt"
"1996-01-08T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1996-01-08T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",57.7,"bereinigt"
"1996-01-08T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",115.28,"bereinigt"
"1996-01-08T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",122.6,"bereinigt"
"1996-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",2.89,"bereinigt"
