"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1989-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",40.78,"bereinigt"
"1989-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",49.85,"bereinigt"
"1989-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",61.29,"bereinigt"
"1989-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",5.46,"bereinigt"
"1989-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",2.62,"bereinigt"
"1989-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",17.77,"bereinigt"
"1989-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",11.76,"bereinigt"
"1989-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",42.34,"bereinigt"
"1989-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",71.73,"bereinigt"
"1989-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",79.65,"bereinigt"
"1989-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",10,"bereinigt"
"1989-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",33.6,"bereinigt"
"1989-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.56,"bereinigt"
"1989-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",51.43,"bereinigt"
"1989-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",57.06,"bereinigt"
"1989-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",72.64,"bereinigt"
"1989-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",7.61,"bereinigt"
"1989-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",23.49,"bereinigt"
"1989-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",17.4,"bereinigt"
"1989-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-03T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",53.05,"bereinigt"
"1989-01-03T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",132.68,"bereinigt"
"1989-01-03T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",134.12,"bereinigt"
"1989-01-03T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",NA,"bereinigt"
"1989-01-03T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",NA,"bereinigt"
"1989-01-03T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",NA,"bereinigt"
"1989-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.98,"bereinigt"
"1989-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",67.98,"bereinigt"
"1989-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",93.78,"bereinigt"
"1989-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",110.74,"bereinigt"
"1989-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",0.07,"bereinigt"
"1989-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",33.17,"bereinigt"
"1989-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",1.54,"bereinigt"
"1989-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-04T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",61.15,"bereinigt"
"1989-01-04T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",193.91,"bereinigt"
"1989-01-04T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",187.44,"bereinigt"
"1989-01-04T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",3.27,"bereinigt"
"1989-01-04T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",NA,"bereinigt"
"1989-01-04T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",NA,"bereinigt"
"1989-01-04T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.79,"bereinigt"
"1989-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",80.45,"bereinigt"
"1989-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",184.39,"bereinigt"
"1989-01-04T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",189.9,"bereinigt"
"1989-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",0.09,"bereinigt"
"1989-01-04T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",55.06,"bereinigt"
"1989-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",2.04,"bereinigt"
"1989-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-05T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",60.79,"bereinigt"
"1989-01-05T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",142.78,"bereinigt"
"1989-01-05T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",146.26,"bereinigt"
"1989-01-05T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",8.45,"bereinigt"
"1989-01-05T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",NA,"bereinigt"
"1989-01-05T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",NA,"bereinigt"
"1989-01-05T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.36,"bereinigt"
"1989-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",81.29,"bereinigt"
"1989-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",112.69,"bereinigt"
"1989-01-05T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",132.85,"bereinigt"
"1989-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",1.92,"bereinigt"
"1989-01-05T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",44.31,"bereinigt"
"1989-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",21.49,"bereinigt"
"1989-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-06T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",56.05,"bereinigt"
"1989-01-06T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",133.85,"bereinigt"
"1989-01-06T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",136.62,"bereinigt"
"1989-01-06T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",10.93,"bereinigt"
"1989-01-06T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",38.11,"bereinigt"
"1989-01-06T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-06T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.17,"bereinigt"
"1989-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",72.17,"bereinigt"
"1989-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",80.74,"bereinigt"
"1989-01-06T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",102.47,"bereinigt"
"1989-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",10.52,"bereinigt"
"1989-01-06T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",27.18,"bereinigt"
"1989-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",43.48,"bereinigt"
"1989-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-07T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",51.33,"bereinigt"
"1989-01-07T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",76.57,"bereinigt"
"1989-01-07T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",88.23,"bereinigt"
"1989-01-07T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",NA,"bereinigt"
"1989-01-07T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",NA,"bereinigt"
"1989-01-07T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",NA,"bereinigt"
"1989-01-07T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.68,"bereinigt"
"1989-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",71.03,"bereinigt"
"1989-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",43.55,"bereinigt"
"1989-01-07T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",72.06,"bereinigt"
"1989-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",0.38,"bereinigt"
"1989-01-07T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",26.25,"bereinigt"
"1989-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",2.55,"bereinigt"
"1989-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-08T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",40.22,"bereinigt"
"1989-01-08T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",135.57,"bereinigt"
"1989-01-08T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",129.72,"bereinigt"
"1989-01-08T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",3.97,"bereinigt"
"1989-01-08T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",12.45,"bereinigt"
"1989-01-08T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-08T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.31,"bereinigt"
"1989-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",57.47,"bereinigt"
"1989-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",121.08,"bereinigt"
"1989-01-08T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",127.12,"bereinigt"
"1989-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",0.62,"bereinigt"
"1989-01-08T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",37.89,"bereinigt"
"1989-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",7.67,"bereinigt"
"1989-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-09T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",48.4,"bereinigt"
"1989-01-09T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",172.07,"bereinigt"
"1989-01-09T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",163.26,"bereinigt"
"1989-01-09T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",3.14,"bereinigt"
"1989-01-09T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",7.48,"bereinigt"
"1989-01-09T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-09T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.56,"bereinigt"
"1989-01-09T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",NA,"bereinigt"
"1989-01-09T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",NA,"bereinigt"
"1989-01-09T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",NA,"bereinigt"
"1989-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",0,"bereinigt"
"1989-01-09T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",42.56,"bereinigt"
"1989-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",0,"bereinigt"
"1989-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-10T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",52.18,"bereinigt"
"1989-01-10T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",180.34,"bereinigt"
"1989-01-10T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",171.87,"bereinigt"
"1989-01-10T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",3.45,"bereinigt"
"1989-01-10T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",7.88,"bereinigt"
"1989-01-10T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-10T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",2.11,"bereinigt"
"1989-01-10T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",63.58,"bereinigt"
"1989-01-10T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",148.3,"bereinigt"
"1989-01-10T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",152.15,"bereinigt"
"1989-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",0,"bereinigt"
"1989-01-10T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",43.73,"bereinigt"
"1989-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",0,"bereinigt"
"1989-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-11T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",58.2,"bereinigt"
"1989-01-11T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",185.9,"bereinigt"
"1989-01-11T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",179.48,"bereinigt"
"1989-01-11T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",3.69,"bereinigt"
"1989-01-11T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",7.13,"bereinigt"
"1989-01-11T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1989-01-11T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",2.63,"bereinigt"
"1989-01-11T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",63.01,"bereinigt"
"1989-01-11T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",183.12,"bereinigt"
"1989-01-11T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",179.77,"bereinigt"
