"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2007-01-01T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",9.57,"bereinigt"
"2007-01-01T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.13,"bereinigt"
"2007-01-01T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",5.91,"bereinigt"
"2007-01-01T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",56.14,"bereinigt"
"2007-01-01T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",69.82,"bereinigt"
"2007-01-01T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2007-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",27.81,"bereinigt"
"2007-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",9.93,"bereinigt"
"2007-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",22.5,"bereinigt"
"2007-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",44.88,"bereinigt"
"2007-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",65.08,"bereinigt"
"2007-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2007-01-01T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",15.68,"bereinigt"
"2007-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",21.5,"bereinigt"
"2007-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",3.02,"bereinigt"
"2007-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",13.66,"bereinigt"
"2007-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",48.41,"bereinigt"
"2007-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",71.07,"bereinigt"
"2007-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2007-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.29,"bereinigt"
"2007-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",4.24,"bereinigt"
"2007-01-02T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",7.97,"bereinigt"
"2007-01-02T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.15,"bereinigt"
"2007-01-02T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",5.09,"bereinigt"
"2007-01-02T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",61.55,"bereinigt"
"2007-01-02T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",72.12,"bereinigt"
"2007-01-02T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2007-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",20.06,"bereinigt"
"2007-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",8.69,"bereinigt"
"2007-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",17.46,"bereinigt"
"2007-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",57.31,"bereinigt"
"2007-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",72.18,"bereinigt"
"2007-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2007-01-02T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",9.26,"bereinigt"
"2007-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",13.12,"bereinigt"
"2007-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",1.97,"bereinigt"
"2007-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",8.44,"bereinigt"
"2007-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",61.66,"bereinigt"
"2007-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",74.08,"bereinigt"
"2007-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2007-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.25,"bereinigt"
