"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1986-01-04T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.53,"bereinigt"
"1986-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",19.47,"bereinigt"
"1986-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",17.12,"bereinigt"
"1986-01-04T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",23.9,"bereinigt"
"1986-01-04T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",34.26,"bereinigt"
"1986-01-05T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.76,"bereinigt"
"1986-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",20.73,"bereinigt"
"1986-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",29.1,"bereinigt"
"1986-01-05T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",34.17,"bereinigt"
"1986-01-05T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",46.58,"bereinigt"
"1986-01-06T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.78,"bereinigt"
"1986-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",23.37,"bereinigt"
"1986-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",25.79,"bereinigt"
"1986-01-06T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",32.9,"bereinigt"
"1986-01-06T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",42.07,"bereinigt"
"1986-01-07T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.87,"bereinigt"
"1986-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",21.98,"bereinigt"
"1986-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",77.83,"bereinigt"
"1986-01-07T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",73.89,"bereinigt"
"1986-01-07T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",56.03,"bereinigt"
"1986-01-08T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",2.53,"bereinigt"
"1986-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",26.45,"bereinigt"
"1986-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",109.7,"bereinigt"
"1986-01-08T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",101.78,"bereinigt"
"1986-01-08T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",94.27,"bereinigt"
"1986-01-09T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",2.63,"bereinigt"
"1986-01-09T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",32.75,"bereinigt"
"1986-01-09T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",105.45,"bereinigt"
"1986-01-09T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",101.67,"bereinigt"
"1986-01-09T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",71.26,"bereinigt"
"1986-01-10T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.77,"bereinigt"
