"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2013-01-01T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",12.2,"bereinigt"
"2013-01-01T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.36,"bereinigt"
"2013-01-01T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",7.47,"bereinigt"
"2013-01-01T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",60.28,"bereinigt"
"2013-01-01T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",75.06,"bereinigt"
"2013-01-01T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2013-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",31.74,"bereinigt"
"2013-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",21.98,"bereinigt"
"2013-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",34.22,"bereinigt"
"2013-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",42.91,"bereinigt"
"2013-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",70.11,"bereinigt"
"2013-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2013-01-01T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",67.34,"bereinigt"
"2013-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",26.17,"bereinigt"
"2013-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",17.62,"bereinigt"
"2013-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",27.81,"bereinigt"
"2013-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",42.9,"bereinigt"
"2013-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",71.71,"bereinigt"
"2013-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2013-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",63.49,"bereinigt"
"2013-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.38,"bereinigt"
"2013-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",3.65,"bereinigt"
"2013-01-02T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",17.45,"bereinigt"
"2013-01-02T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.61,"bereinigt"
"2013-01-02T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",10.42,"bereinigt"
"2013-01-02T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",54.69,"bereinigt"
"2013-01-02T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",70.2,"bereinigt"
"2013-01-02T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2013-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",49.35,"bereinigt"
"2013-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",29.82,"bereinigt"
"2013-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",49.71,"bereinigt"
"2013-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",30.28,"bereinigt"
"2013-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",61.22,"bereinigt"
"2013-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2013-01-02T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",11.24,"bereinigt"
"2013-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",38.45,"bereinigt"
"2013-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",19.19,"bereinigt"
"2013-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",35.49,"bereinigt"
"2013-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",35.96,"bereinigt"
"2013-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",64.32,"bereinigt"
"2013-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2013-01-02T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",14.74,"bereinigt"
"2013-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.34,"bereinigt"
"2013-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",2.28,"bereinigt"
"2013-01-03T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",28.55,"bereinigt"
"2013-01-03T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.95,"bereinigt"
"2013-01-03T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",16.49,"bereinigt"
