"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1993-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",6.05,"bereinigt"
"1993-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",15.24,"bereinigt"
"1993-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",41.88,"bereinigt"
"1993-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",52.97,"bereinigt"
"1993-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",64.37,"bereinigt"
"1993-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",5.43,"bereinigt"
"1993-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",16.76,"bereinigt"
"1993-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.18,"bereinigt"
"1993-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",46.71,"bereinigt"
"1993-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",43.72,"bereinigt"
"1993-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",59.47,"bereinigt"
"1993-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",25.81,"bereinigt"
"1993-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",15.43,"bereinigt"
"1993-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",25.6,"bereinigt"
"1993-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-02T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",36.91,"bereinigt"
"1993-01-02T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",48.96,"bereinigt"
"1993-01-02T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",58.55,"bereinigt"
"1993-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",19.96,"bereinigt"
"1993-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",41.85,"bereinigt"
"1993-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.74,"bereinigt"
"1993-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",35.29,"bereinigt"
"1993-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",22.03,"bereinigt"
"1993-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",36.11,"bereinigt"
"1993-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",25.69,"bereinigt"
"1993-01-03T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",13.91,"bereinigt"
"1993-01-03T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",27.31,"bereinigt"
"1993-01-03T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-03T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",30.64,"bereinigt"
"1993-01-03T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",53.03,"bereinigt"
"1993-01-03T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",58.54,"bereinigt"
"1993-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",15.86,"bereinigt"
"1993-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",33.54,"bereinigt"
"1993-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.92,"bereinigt"
"1993-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",31.78,"bereinigt"
"1993-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",31.99,"bereinigt"
"1993-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",42.26,"bereinigt"
"1993-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",30.32,"bereinigt"
"1993-01-04T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",3.58,"bereinigt"
"1993-01-04T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",8.72,"bereinigt"
"1993-01-04T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-04T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",45.48,"bereinigt"
"1993-01-04T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",139.63,"bereinigt"
"1993-01-04T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",135.73,"bereinigt"
"1993-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",3.56,"bereinigt"
"1993-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",12.15,"bereinigt"
"1993-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-04T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.6,"bereinigt"
"1993-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",47.9,"bereinigt"
"1993-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",90.67,"bereinigt"
"1993-01-04T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",97.74,"bereinigt"
"1993-01-04T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",41.37,"bereinigt"
"1993-01-05T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",3.96,"bereinigt"
"1993-01-05T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",6.5,"bereinigt"
"1993-01-05T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-05T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",81.56,"bereinigt"
"1993-01-05T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",345.24,"bereinigt"
"1993-01-05T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",319.45,"bereinigt"
"1993-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",2.24,"bereinigt"
"1993-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",4.7,"bereinigt"
"1993-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-05T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",3.98,"bereinigt"
"1993-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",83.82,"bereinigt"
"1993-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",326.65,"bereinigt"
"1993-01-05T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",305.72,"bereinigt"
"1993-01-05T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",99.51,"bereinigt"
"1993-01-06T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",4.75,"bereinigt"
"1993-01-06T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",9.09,"bereinigt"
"1993-01-06T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-06T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",86.33,"bereinigt"
"1993-01-06T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",385.03,"bereinigt"
"1993-01-06T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",353.84,"bereinigt"
"1993-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",2.49,"bereinigt"
"1993-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",7.53,"bereinigt"
"1993-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-06T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",3.71,"bereinigt"
"1993-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",87.12,"bereinigt"
"1993-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",297.01,"bereinigt"
"1993-01-06T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",283.68,"bereinigt"
"1993-01-06T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",96.44,"bereinigt"
"1993-01-07T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",3.03,"bereinigt"
"1993-01-07T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",6.11,"bereinigt"
"1993-01-07T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-07T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",63.28,"bereinigt"
"1993-01-07T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",269.78,"bereinigt"
"1993-01-07T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",249.38,"bereinigt"
"1993-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",1.62,"bereinigt"
"1993-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",1.99,"bereinigt"
"1993-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-07T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",2.94,"bereinigt"
"1993-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",64.38,"bereinigt"
"1993-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",218.74,"bereinigt"
"1993-01-07T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",209.04,"bereinigt"
"1993-01-07T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",62.35,"bereinigt"
"1993-01-08T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",2.19,"bereinigt"
"1993-01-08T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",5.07,"bereinigt"
"1993-01-08T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-08T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",50.99,"bereinigt"
"1993-01-08T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",248.46,"bereinigt"
"1993-01-08T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",225.86,"bereinigt"
"1993-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",1.43,"bereinigt"
"1993-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",1.95,"bereinigt"
"1993-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-08T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",2.85,"bereinigt"
"1993-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",45.44,"bereinigt"
"1993-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",197.73,"bereinigt"
"1993-01-08T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",182.29,"bereinigt"
"1993-01-08T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",37.57,"bereinigt"
"1993-01-09T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",1.52,"bereinigt"
"1993-01-09T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",3.03,"bereinigt"
"1993-01-09T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-09T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",40.42,"bereinigt"
"1993-01-09T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",133.19,"bereinigt"
"1993-01-09T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",127.92,"bereinigt"
"1993-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",1.88,"bereinigt"
"1993-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",5.68,"bereinigt"
"1993-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-09T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.58,"bereinigt"
"1993-01-09T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",39.68,"bereinigt"
"1993-01-09T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",98.15,"bereinigt"
"1993-01-09T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",99.44,"bereinigt"
"1993-01-09T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",22.05,"bereinigt"
"1993-01-10T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",4.9,"bereinigt"
"1993-01-10T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",26,"bereinigt"
"1993-01-10T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-10T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",43.29,"bereinigt"
"1993-01-10T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",102.89,"bereinigt"
"1993-01-10T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",105.12,"bereinigt"
"1993-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",5.13,"bereinigt"
"1993-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",27.18,"bereinigt"
"1993-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-10T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",1.26,"bereinigt"
"1993-01-10T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",43.36,"bereinigt"
"1993-01-10T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",64.65,"bereinigt"
"1993-01-10T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",74.51,"bereinigt"
"1993-01-10T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",22.5,"bereinigt"
"1993-01-11T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",22.64,"bereinigt"
"1993-01-11T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",36.8,"bereinigt"
"1993-01-11T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"1993-01-11T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",39.47,"bereinigt"
"1993-01-11T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",57.56,"bereinigt"
"1993-01-11T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",66.79,"bereinigt"
"1993-01-11T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",34.12,"bereinigt"
"1993-01-11T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",54.25,"bereinigt"
