"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2010-01-01T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",24.01,"bereinigt"
"2010-01-01T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",4.47,"bereinigt"
"2010-01-01T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",16.14,"bereinigt"
"2010-01-01T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",15.23,"bereinigt"
"2010-01-01T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",30.96,"bereinigt"
"2010-01-01T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2010-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",35.57,"bereinigt"
"2010-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",19.71,"bereinigt"
"2010-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",34.41,"bereinigt"
"2010-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",8,"bereinigt"
"2010-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",20.62,"bereinigt"
"2010-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2010-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.56,"bereinigt"
"2010-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",43.31,"bereinigt"
"2010-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",2.53,"bereinigt"
"2010-01-02T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",14.75,"bereinigt"
"2010-01-02T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.71,"bereinigt"
"2010-01-02T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",9.09,"bereinigt"
"2010-01-02T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",50.24,"bereinigt"
"2010-01-02T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",65.03,"bereinigt"
"2010-01-02T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2010-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",17.98,"bereinigt"
"2010-01-02T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",2.91,"bereinigt"
"2010-01-02T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",11.73,"bereinigt"
"2010-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",49.06,"bereinigt"
"2010-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",62.58,"bereinigt"
"2010-01-02T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2010-01-02T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.33,"bereinigt"
"2010-01-02T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",8.58,"bereinigt"
"2010-01-02T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",2.12,"bereinigt"
"2010-01-03T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",18.39,"bereinigt"
"2010-01-03T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.51,"bereinigt"
"2010-01-03T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",10.83,"bereinigt"
"2010-01-03T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",49.84,"bereinigt"
"2010-01-03T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",64.55,"bereinigt"
"2010-01-03T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2010-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",32.4,"bereinigt"
"2010-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",6.91,"bereinigt"
"2010-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",22.49,"bereinigt"
"2010-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",38.32,"bereinigt"
"2010-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",59.73,"bereinigt"
"2010-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2010-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.4,"bereinigt"
"2010-01-03T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",14.47,"bereinigt"
"2010-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",3.43,"bereinigt"
"2010-01-04T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",35.52,"bereinigt"
"2010-01-04T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",10.97,"bereinigt"
"2010-01-04T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",27.37,"bereinigt"
"2010-01-04T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",26.85,"bereinigt"
"2010-01-04T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",57.49,"bereinigt"
"2010-01-04T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2010-01-04T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",61.05,"bereinigt"
"2010-01-04T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",54.31,"bereinigt"
"2010-01-04T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",75.47,"bereinigt"
"2010-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",61.07,"bereinigt"
"2010-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",42.04,"bereinigt"
"2010-01-04T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",65.64,"bereinigt"
"2010-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",6.59,"bereinigt"
"2010-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",18.44,"bereinigt"
"2010-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2010-01-04T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.77,"bereinigt"
"2010-01-04T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",32.33,"bereinigt"
"2010-01-04T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",6.23,"bereinigt"
"2010-01-05T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",42.91,"bereinigt"
"2010-01-05T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",6.86,"bereinigt"
"2010-01-05T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",27.94,"bereinigt"
"2010-01-05T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",10.76,"bereinigt"
"2010-01-05T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",18.75,"bereinigt"
"2010-01-05T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2010-01-05T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",52.46,"bereinigt"
"2010-01-05T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",38.87,"bereinigt"
"2010-01-05T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",58.6,"bereinigt"
"2010-01-05T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",5.62,"bereinigt"
"2010-01-05T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",8.87,"bereinigt"
"2010-01-05T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2010-01-05T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",45.61,"bereinigt"
"2010-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",53.86,"bereinigt"
"2010-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",31.05,"bereinigt"
"2010-01-05T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",53.06,"bereinigt"
"2010-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",5.71,"bereinigt"
"2010-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",9.45,"bereinigt"
"2010-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2010-01-05T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.68,"bereinigt"
"2010-01-05T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",39.69,"bereinigt"
"2010-01-05T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",4.54,"bereinigt"
"2010-01-06T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",46.18,"bereinigt"
"2010-01-06T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",16.79,"bereinigt"
"2010-01-06T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",37.61,"bereinigt"
"2010-01-06T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",4.51,"bereinigt"
"2010-01-06T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",10.28,"bereinigt"
"2010-01-06T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2010-01-06T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",51.27,"bereinigt"
"2010-01-06T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",56.26,"bereinigt"
"2010-01-06T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",71.92,"bereinigt"
"2010-01-06T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",3.49,"bereinigt"
"2010-01-06T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",7.55,"bereinigt"
"2010-01-06T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
